Date and Time,Weir Flow(L/s),Weir Level(cm)
2019-12-30 00:00:00,9.814152,6.6812
2019-12-30 00:05:00,10.50907,7.0312
2019-12-30 00:10:00,9.814152,6.6812
2019-12-30 00:15:00,8.959215,6.2437
2019-12-30 00:20:00,8.366124,5.9375
2019-12-30 00:25:00,7.956969,5.7187
2019-12-30 00:30:00,7.711626,5.5875
2019-12-30 00:35:00,7.138844,5.2812
2019-12-30 00:40:00,7.138844,5.2812
2019-12-30 00:45:00,8.038875,5.7625
2019-12-30 00:50:00,8.366124,5.9375
2019-12-30 00:55:00,7.793344,5.6312
2019-12-30 01:00:00,7.057127,5.237501
2019-12-30 01:05:00,6.647969,5.0187
2019-12-30 01:10:00,6.56875,4.975
2019-12-30 01:15:00,7.548,5.5
2019-12-30 01:20:00,8.366124,5.9375
2019-12-30 01:25:00,6.729875,5.0625
2019-12-30 01:30:00,6.105125,4.7125
2019-12-30 01:35:00,6.336912,4.8437
2019-12-30 01:40:00,5.795373,4.537499
2019-12-30 01:45:00,5.641,4.45
2019-12-30 01:50:00,5.486625,4.3625
2019-12-30 01:55:00,6.8935,5.15
2019-12-30 02:00:00,6.491224,4.9312
2019-12-30 02:05:00,6.0276,4.6687
2019-12-30 02:10:00,5.872725,4.5812
2019-12-30 02:15:00,5.486625,4.3625
2019-12-30 02:20:00,5.486625,4.3625
2019-12-30 02:25:00,5.486625,4.3625
2019-12-30 02:30:00,5.409098,4.3187
2019-12-30 02:35:00,5.641,4.45
2019-12-30 02:40:00,5.409098,4.3187
2019-12-30 02:45:00,5.563912,4.4062
2019-12-30 02:50:00,5.254224,4.2312
2019-12-30 02:55:00,5.177,4.1875
2019-12-30 03:00:00,5.409098,4.3187
2019-12-30 03:05:00,5.563912,4.4062
2019-12-30 03:10:00,5.641,4.45
2019-12-30 03:15:00,5.177,4.1875
2019-12-30 03:20:00,5.33175,4.275
2019-12-30 03:25:00,5.177,4.1875
2019-12-30 03:30:00,5.099912,4.1437
2019-12-30 03:35:00,4.653356,3.8812
2019-12-30 03:40:00,4.795294,3.9687
2019-12-30 03:45:00,5.023,4.1
2019-12-30 03:50:00,4.868125,4.0125
2019-12-30 03:55:00,4.868125,4.0125
2019-12-30 04:00:00,4.582125,3.8375
2019-12-30 04:05:00,4.945474,4.0562
2019-12-30 04:10:00,4.868125,4.0125
2019-12-30 04:15:00,5.023,4.1
2019-12-30 04:20:00,5.409098,4.3187
2019-12-30 04:25:00,5.33175,4.275
2019-12-30 04:30:00,5.177,4.1875
2019-12-30 04:35:00,5.795373,4.537499
2019-12-30 04:40:00,5.795373,4.537499
2019-12-30 04:45:00,5.641,4.45
2019-12-30 04:50:00,5.641,4.45
2019-12-30 04:55:00,5.641,4.45
2019-12-30 05:00:00,5.872725,4.5812
2019-12-30 05:05:00,8.874,6.2
2019-12-30 05:10:00,7.220749,5.325
2019-12-30 05:15:00,6.56875,4.975
2019-12-30 05:20:00,6.336912,4.8437
2019-12-30 05:25:00,6.491224,4.9312
2019-12-30 05:30:00,8.038875,5.7625
2019-12-30 05:35:00,7.220749,5.325
2019-12-30 05:40:00,6.811595,5.1062
2019-12-30 05:45:00,6.811595,5.1062
2019-12-30 05:50:00,6.8935,5.15
2019-12-30 05:55:00,7.220749,5.325
2019-12-30 06:00:00,7.629719,5.5437
2019-12-30 06:05:00,7.793344,5.6312
2019-12-30 06:10:00,7.711626,5.5875
2019-12-30 06:15:00,7.956969,5.7187
2019-12-30 06:20:00,7.711626,5.5875
2019-12-30 06:25:00,8.202499,5.85
2019-12-30 06:30:00,8.284219,5.8937
2019-12-30 06:35:00,8.53175,6.025
2019-12-30 06:40:00,9.216001,6.375
2019-12-30 06:45:00,9.044624,6.2875
2019-12-30 06:50:00,8.616965,6.0687
2019-12-30 06:55:00,9.984964,6.7687
2019-12-30 07:00:00,11.016,7.25
2019-12-30 07:05:00,10.15615,6.8562
2019-12-30 07:10:00,10.15615,6.8562
2019-12-30 07:15:00,9.47209,6.5062
2019-12-30 07:20:00,9.728499,6.6375
2019-12-30 07:25:00,9.728499,6.6375
2019-12-30 07:30:00,10.32721,6.9437
2019-12-30 07:35:00,9.984964,6.7687
2019-12-30 07:40:00,10.50907,7.0312
2019-12-30 07:45:00,11.5217,7.4687
2019-12-30 07:50:00,11.623,7.5125
2019-12-30 07:55:00,12.53532,7.9062
2019-12-30 08:00:00,11.31957,7.3812
2019-12-30 08:05:00,10.91438,7.2062
2019-12-30 08:10:00,11.11738,7.2937
2019-12-30 08:15:00,11.11738,7.2937
2019-12-30 08:20:00,11.623,7.5125
2019-12-30 08:25:00,12.02813,7.6875
2019-12-30 08:30:00,13.59894,8.3437
2019-12-30 08:35:00,15.00075,8.9125
2019-12-30 08:40:00,13.491,8.3
2019-12-30 08:45:00,12.6365,7.95
2019-12-30 08:50:00,13.491,8.3
2019-12-30 08:55:00,14.56925,8.7375
2019-12-30 09:00:00,15.55743,9.1312
2019-12-30 09:05:00,15.78562,9.2187
2019-12-30 09:10:00,16.46912,9.4812
2019-12-30 09:15:00,15.67175,9.175
2019-12-30 09:20:00,15.00075,8.9125
2019-12-30 09:25:00,15.67175,9.175
2019-12-30 09:30:00,16.01318,9.3062
2019-12-30 09:35:00,17.83798,10.0062
2019-12-30 09:40:00,18.07774,10.0937
2019-12-30 09:45:00,16.24156,9.3937
2019-12-30 09:50:00,14.78475,8.825
2019-12-30 09:55:00,14.89269,8.8687
2019-12-30 10:00:00,19.0363,10.4437
2019-12-30 10:05:00,15.8995,9.2625
2019-12-30 10:10:00,18.55724,10.2687
2019-12-30 10:15:00,18.4375,10.225
2019-12-30 10:20:00,17.039,9.7
2019-12-30 10:25:00,19.27549,10.5312
2019-12-30 10:30:00,16.92512,9.6562
2019-12-30 10:35:00,16.8115,9.6125
2019-12-30 10:40:00,17.38112,9.8312
2019-12-30 10:45:00,19.51524,10.6187
2019-12-30 10:50:00,19.51524,10.6187
2019-12-30 10:55:00,17.15306,9.7437
2019-12-30 11:00:00,17.039,9.7
2019-12-30 11:05:00,17.38112,9.8312
2019-12-30 11:10:00,18.19775,10.1375
2019-12-30 11:15:00,18.55724,10.2687
2019-12-30 11:20:00,21.47348,11.3187
2019-12-30 11:25:00,19.0363,10.4437
2019-12-30 11:30:00,17.26737,9.7875
2019-12-30 11:35:00,16.46912,9.4812
2019-12-30 11:40:00,15.67175,9.175
2019-12-30 11:45:00,16.24156,9.3937
2019-12-30 11:50:00,15.55743,9.1312
2019-12-30 11:55:00,17.26737,9.7875
2019-12-30 12:00:00,17.958,10.05
2019-12-30 12:05:00,16.46912,9.4812
2019-12-30 12:10:00,16.1275,9.35
2019-12-30 12:15:00,16.46912,9.4812
2019-12-30 12:20:00,16.24156,9.3937
2019-12-30 12:25:00,17.039,9.7
2019-12-30 12:30:00,16.46912,9.4812
2019-12-30 12:35:00,16.1275,9.35
2019-12-30 12:40:00,16.3555,9.4375
2019-12-30 12:45:00,17.72312,9.962499
2019-12-30 12:50:00,17.15306,9.7437
2019-12-30 12:55:00,15.78562,9.2187
2019-12-30 13:00:00,15.10825,8.9562
2019-12-30 13:05:00,16.58325,9.525
2019-12-30 13:10:00,15.78562,9.2187
2019-12-30 13:15:00,15.67175,9.175
2019-12-30 13:20:00,15.00075,8.9125
2019-12-30 13:25:00,13.27575,8.2125
2019-12-30 13:30:00,12.84425,8.0375
2019-12-30 13:35:00,14.67675,8.7812
2019-12-30 13:40:00,13.9225,8.475
2019-12-30 13:45:00,15.10825,8.9562
2019-12-30 13:50:00,13.9225,8.475
2019-12-30 13:55:00,12.84425,8.0375
2019-12-30 14:00:00,12.53532,7.9062
2019-12-30 14:05:00,14.24531,8.6062
2019-12-30 14:10:00,14.46144,8.6937
2019-12-30 14:15:00,14.24531,8.6062
2019-12-30 14:20:00,14.24531,8.6062
2019-12-30 14:25:00,14.03,8.5187
2019-12-30 14:30:00,13.16769,8.1687
2019-12-30 14:35:00,13.38325,8.2562
2019-12-30 14:40:00,13.38325,8.2562
2019-12-30 14:45:00,12.231,7.775
2019-12-30 14:50:00,12.53532,7.9062
2019-12-30 14:55:00,12.231,7.775
2019-12-30 15:00:00,15.10825,8.9562
2019-12-30 15:05:00,14.24531,8.6062
2019-12-30 15:10:00,12.84425,8.0375
2019-12-30 15:15:00,11.72439,7.5562
2019-12-30 15:20:00,13.491,8.3
2019-12-30 15:25:00,12.73745,7.9937
2019-12-30 15:30:00,12.12938,7.7312
2019-12-30 15:35:00,12.33238,7.8187
2019-12-30 15:40:00,12.12938,7.7312
2019-12-30 15:45:00,12.231,7.775
2019-12-30 15:50:00,14.03,8.5187
2019-12-30 15:55:00,14.89269,8.8687
2019-12-30 16:00:00,14.89269,8.8687
2019-12-30 16:05:00,14.24531,8.6062
2019-12-30 16:10:00,13.59894,8.3437
2019-12-30 16:15:00,12.95175,8.0812
2019-12-30 16:20:00,13.05975,8.125
2019-12-30 16:25:00,14.89269,8.8687
2019-12-30 16:30:00,14.3535,8.65
2019-12-30 16:35:00,14.13775,8.5625
2019-12-30 16:40:00,16.24156,9.3937
2019-12-30 16:45:00,14.46144,8.6937
2019-12-30 16:50:00,13.05975,8.125
2019-12-30 16:55:00,13.70713,8.3875
2019-12-30 17:00:00,14.89269,8.8687
2019-12-30 17:05:00,15.55743,9.1312
2019-12-30 17:10:00,16.8115,9.6125
2019-12-30 17:15:00,15.4435,9.0875
2019-12-30 17:20:00,15.216,9.0
2019-12-30 17:25:00,14.24531,8.6062
2019-12-30 17:30:00,13.9225,8.475
2019-12-30 17:35:00,14.78475,8.825
2019-12-30 17:40:00,14.13775,8.5625
2019-12-30 17:45:00,14.13775,8.5625
2019-12-30 17:50:00,14.78475,8.825
2019-12-30 17:55:00,14.46144,8.6937
2019-12-30 18:00:00,15.10825,8.9562
2019-12-30 18:05:00,17.495,9.874999
2019-12-30 18:10:00,14.67675,8.7812
2019-12-30 18:15:00,14.3535,8.65
2019-12-30 18:20:00,14.13775,8.5625
2019-12-30 18:25:00,15.216,9.0
2019-12-30 18:30:00,15.67175,9.175
2019-12-30 18:35:00,17.039,9.7
2019-12-30 18:40:00,17.15306,9.7437
2019-12-30 18:45:00,16.69731,9.5687
2019-12-30 18:50:00,14.56925,8.7375
2019-12-30 18:55:00,15.00075,8.9125
2019-12-30 19:00:00,14.56925,8.7375
2019-12-30 19:05:00,15.67175,9.175
2019-12-30 19:10:00,15.4435,9.0875
2019-12-30 19:15:00,15.216,9.0
2019-12-30 19:20:00,16.92512,9.6562
2019-12-30 19:25:00,17.83798,10.0062
2019-12-30 19:30:00,14.56925,8.7375
2019-12-30 19:35:00,15.10825,8.9562
2019-12-30 19:40:00,15.216,9.0
2019-12-30 19:45:00,17.039,9.7
2019-12-30 19:50:00,15.216,9.0
2019-12-30 19:55:00,14.3535,8.65
2019-12-30 20:00:00,15.4435,9.0875
2019-12-30 20:05:00,15.10825,8.9562
2019-12-30 20:10:00,14.56925,8.7375
2019-12-30 20:15:00,16.46912,9.4812
2019-12-30 20:20:00,15.67175,9.175
2019-12-30 20:25:00,17.495,9.874999
2019-12-30 20:30:00,18.19775,10.1375
2019-12-30 20:35:00,17.039,9.7
2019-12-30 20:40:00,15.8995,9.2625
2019-12-30 20:45:00,14.78475,8.825
2019-12-30 20:50:00,17.26737,9.7875
2019-12-30 20:55:00,15.8995,9.2625
2019-12-30 21:00:00,15.10825,8.9562
2019-12-30 21:05:00,15.00075,8.9125
2019-12-30 21:10:00,14.78475,8.825
2019-12-30 21:15:00,13.491,8.3
2019-12-30 21:20:00,13.9225,8.475
2019-12-30 21:25:00,15.4435,9.0875
2019-12-30 21:30:00,14.89269,8.8687
2019-12-30 21:35:00,16.58325,9.525
2019-12-30 21:40:00,14.56925,8.7375
2019-12-30 21:45:00,13.38325,8.2562
2019-12-30 21:50:00,12.6365,7.95
2019-12-30 21:55:00,13.9225,8.475
2019-12-30 22:00:00,15.4435,9.0875
2019-12-30 22:05:00,14.78475,8.825
2019-12-30 22:10:00,14.3535,8.65
2019-12-30 22:15:00,13.05975,8.125
2019-12-30 22:20:00,13.81475,8.4312
2019-12-30 22:25:00,14.89269,8.8687
2019-12-30 22:30:00,17.039,9.7
2019-12-30 22:35:00,13.16769,8.1687
2019-12-30 22:40:00,13.16769,8.1687
2019-12-30 22:45:00,13.9225,8.475
2019-12-30 22:50:00,13.81475,8.4312
2019-12-30 22:55:00,13.9225,8.475
2019-12-30 23:00:00,13.27575,8.2125
2019-12-30 23:05:00,13.59894,8.3437
2019-12-30 23:10:00,13.38325,8.2562
2019-12-30 23:15:00,11.623,7.5125
2019-12-30 23:20:00,11.5217,7.4687
2019-12-30 23:25:00,12.434,7.8625
2019-12-30 23:30:00,11.623,7.5125
2019-12-30 23:35:00,12.231,7.775
2019-12-30 23:40:00,11.826,7.6
2019-12-30 23:45:00,11.623,7.5125
2019-12-30 23:50:00,10.61025,7.075
2019-12-30 23:55:00,10.32721,6.9437
2019-12-31 00:00:00,9.301466,6.4187
2019-12-31 00:05:00,9.301466,6.4187
2019-12-31 00:10:00,8.959215,6.2437
2019-12-31 00:15:00,9.47209,6.5062
2019-12-31 00:20:00,9.216001,6.375
2019-12-31 00:25:00,8.702501,6.1125
2019-12-31 00:30:00,8.202499,5.85
2019-12-31 00:35:00,8.120594,5.8062
2019-12-31 00:40:00,7.956969,5.7187
2019-12-31 00:45:00,7.956969,5.7187
2019-12-31 00:50:00,8.366124,5.9375
2019-12-31 00:55:00,9.47209,6.5062
2019-12-31 01:00:00,8.874,6.2
2019-12-31 01:05:00,8.53175,6.025
2019-12-31 01:10:00,10.242,6.9
2019-12-31 01:15:00,9.216001,6.375
2019-12-31 01:20:00,8.284219,5.8937
2019-12-31 01:25:00,7.793344,5.6312
2019-12-31 01:30:00,7.629719,5.5437
2019-12-31 01:35:00,7.548,5.5
2019-12-31 01:40:00,7.629719,5.5437
2019-12-31 01:45:00,7.548,5.5
2019-12-31 01:50:00,7.711626,5.5875
2019-12-31 01:55:00,7.711626,5.5875
2019-12-31 02:00:00,7.711626,5.5875
2019-12-31 02:05:00,7.711626,5.5875
2019-12-31 02:10:00,7.711626,5.5875
2019-12-31 02:15:00,7.629719,5.5437
2019-12-31 02:20:00,7.466094,5.4562
2019-12-31 02:25:00,7.548,5.5
2019-12-31 02:30:00,7.220749,5.325
2019-12-31 02:35:00,7.302469,5.3687
2019-12-31 02:40:00,8.959215,6.2437
2019-12-31 02:45:00,9.386875,6.4625
2019-12-31 02:50:00,8.038875,5.7625
2019-12-31 02:55:00,7.466094,5.4562
2019-12-31 03:00:00,7.220749,5.325
2019-12-31 03:05:00,7.220749,5.325
2019-12-31 03:10:00,7.220749,5.325
2019-12-31 03:15:00,7.220749,5.325
2019-12-31 03:20:00,6.975219,5.1937
2019-12-31 03:25:00,6.975219,5.1937
2019-12-31 03:30:00,6.729875,5.0625
2019-12-31 03:35:00,6.491224,4.9312
2019-12-31 03:40:00,6.56875,4.975
2019-12-31 03:45:00,7.302469,5.3687
2019-12-31 03:50:00,8.874,6.2
2019-12-31 03:55:00,7.302469,5.3687
2019-12-31 04:00:00,7.220749,5.325
2019-12-31 04:05:00,7.220749,5.325
2019-12-31 04:10:00,6.8935,5.15
2019-12-31 04:15:00,7.138844,5.2812
2019-12-31 04:20:00,7.302469,5.3687
2019-12-31 04:25:00,7.711626,5.5875
2019-12-31 04:30:00,7.548,5.5
2019-12-31 04:35:00,7.711626,5.5875
2019-12-31 04:40:00,9.216001,6.375
2019-12-31 04:45:00,8.284219,5.8937
2019-12-31 04:50:00,8.366124,5.9375
2019-12-31 04:55:00,7.956969,5.7187
2019-12-31 05:00:00,7.956969,5.7187
2019-12-31 05:05:00,8.366124,5.9375
2019-12-31 05:10:00,7.956969,5.7187
2019-12-31 05:15:00,8.038875,5.7625
2019-12-31 05:20:00,8.447845,5.9812
2019-12-31 05:25:00,8.788152,6.1562
2019-12-31 05:30:00,8.616965,6.0687
2019-12-31 05:35:00,8.284219,5.8937
2019-12-31 05:40:00,8.874,6.2
2019-12-31 05:45:00,8.959215,6.2437
2019-12-31 05:50:00,9.301466,6.4187
2019-12-31 05:55:00,9.301466,6.4187
2019-12-31 06:00:00,9.814152,6.6812
2019-12-31 06:05:00,9.814152,6.6812
2019-12-31 06:10:00,10.813,7.1625
2019-12-31 06:15:00,10.61025,7.075
2019-12-31 06:20:00,10.0705,6.8125
2019-12-31 06:25:00,10.813,7.1625
2019-12-31 06:30:00,11.21863,7.3375
2019-12-31 06:35:00,11.92695,7.6437
2019-12-31 06:40:00,10.813,7.1625
2019-12-31 06:45:00,14.03,8.5187
2019-12-31 06:50:00,11.92695,7.6437
2019-12-31 06:55:00,12.33238,7.8187
2019-12-31 07:00:00,12.434,7.8625
2019-12-31 07:05:00,12.6365,7.95
2019-12-31 07:10:00,12.73745,7.9937
2019-12-31 07:15:00,14.78475,8.825
2019-12-31 07:20:00,14.03,8.5187
2019-12-31 07:25:00,12.6365,7.95
2019-12-31 07:30:00,12.73745,7.9937
2019-12-31 07:35:00,12.6365,7.95
2019-12-31 07:40:00,12.73745,7.9937
2019-12-31 07:45:00,13.27575,8.2125
2019-12-31 07:50:00,13.491,8.3
2019-12-31 07:55:00,14.24531,8.6062
2019-12-31 08:00:00,16.8115,9.6125
2019-12-31 08:05:00,15.32962,9.0437
2019-12-31 08:10:00,15.216,9.0
2019-12-31 08:15:00,14.89269,8.8687
2019-12-31 08:20:00,14.78475,8.825
2019-12-31 08:25:00,15.10825,8.9562
2019-12-31 08:30:00,17.26737,9.7875
2019-12-31 08:35:00,17.15306,9.7437
2019-12-31 08:40:00,18.19775,10.1375
2019-12-31 08:45:00,17.039,9.7
2019-12-31 08:50:00,18.07774,10.0937
2019-12-31 08:55:00,17.495,9.874999
2019-12-31 09:00:00,21.72379,11.4062
2019-12-31 09:05:00,22.3515,11.625
2019-12-31 09:10:00,22.10063,11.5375
2019-12-31 09:15:00,27.0526,13.2
2019-12-31 09:20:00,21.59875,11.3625
2019-12-31 09:25:00,20.72129,11.0562
2019-12-31 09:30:00,21.59875,11.3625
2019-12-31 09:35:00,22.97798,11.8437
2019-12-31 09:40:00,22.60188,11.7125
2019-12-31 09:45:00,24.79141,12.4562
2019-12-31 09:50:00,22.47648,11.6687
2019-12-31 09:55:00,21.72379,11.4062
2019-12-31 10:00:00,21.97492,11.4937
2019-12-31 10:05:00,25.44627,12.675
2019-12-31 10:10:00,25.18439,12.5875
2019-12-31 10:15:00,22.97798,11.8437
2019-12-31 10:20:00,21.47348,11.3187
2019-12-31 10:25:00,22.60188,11.7125
2019-12-31 10:30:00,22.10063,11.5375
2019-12-31 10:35:00,27.3298,13.2875
2019-12-31 10:40:00,24.00574,12.1937
2019-12-31 10:45:00,23.48197,12.0187
2019-12-31 10:50:00,24.13684,12.2375
2019-12-31 10:55:00,28.993,13.8125
2019-12-31 11:00:00,25.97005,12.85
2019-12-31 11:05:00,25.05329,12.5437
2019-12-31 11:10:00,24.13684,12.2375
2019-12-31 11:15:00,23.48197,12.0187
2019-12-31 11:20:00,24.9225,12.5
2019-12-31 11:25:00,26.7754,13.1125
2019-12-31 11:30:00,29.84125,14.075
2019-12-31 11:35:00,25.70816,12.7625
2019-12-31 11:40:00,25.83896,12.8062
2019-12-31 11:45:00,27.8842,13.4625
2019-12-31 11:50:00,26.91384,13.1562
2019-12-31 11:55:00,22.72729,11.7562
2019-12-31 12:00:00,22.47648,11.6687
2019-12-31 12:05:00,22.47648,11.6687
2019-12-31 12:10:00,24.00574,12.1937
2019-12-31 12:15:00,27.3298,13.2875
2019-12-31 12:20:00,25.05329,12.5437
2019-12-31 12:25:00,24.66062,12.4125
2019-12-31 12:30:00,26.7754,13.1125
2019-12-31 12:35:00,24.39872,12.325
2019-12-31 12:40:00,24.66062,12.4125
2019-12-31 12:45:00,23.22854,11.9312
2019-12-31 12:50:00,20.847,11.1
2019-12-31 12:55:00,20.72129,11.0562
2019-12-31 13:00:00,23.35425,11.975
2019-12-31 13:05:00,22.853,11.8
2019-12-31 13:10:00,21.34825,11.275
2019-12-31 13:15:00,24.00574,12.1937
2019-12-31 13:20:00,22.60188,11.7125
2019-12-31 13:25:00,21.34825,11.275
2019-12-31 13:30:00,22.60188,11.7125
2019-12-31 13:35:00,22.72729,11.7562
2019-12-31 13:40:00,23.35425,11.975
2019-12-31 13:45:00,21.97492,11.4937
2019-12-31 13:50:00,25.97005,12.85
2019-12-31 13:55:00,25.05329,12.5437
2019-12-31 14:00:00,22.47648,11.6687
2019-12-31 14:05:00,21.09725,11.1875
2019-12-31 14:10:00,21.09725,11.1875
2019-12-31 14:15:00,19.99474,10.7937
2019-12-31 14:20:00,23.22854,11.9312
2019-12-31 14:25:00,23.48197,12.0187
2019-12-31 14:30:00,22.97798,11.8437
2019-12-31 14:35:00,23.35425,11.975
2019-12-31 14:40:00,23.10325,11.8875
2019-12-31 14:45:00,22.853,11.8
2019-12-31 14:50:00,25.83896,12.8062
2019-12-31 14:55:00,24.79141,12.4562
2019-12-31 15:00:00,24.13684,12.2375
2019-12-31 15:05:00,26.23194,12.9375
2019-12-31 15:10:00,25.97005,12.85
2019-12-31 15:15:00,26.10085,12.8937
2019-12-31 15:20:00,25.05329,12.5437
2019-12-31 15:25:00,24.66062,12.4125
2019-12-31 15:30:00,24.52952,12.3687
2019-12-31 15:35:00,24.9225,12.5
2019-12-31 15:40:00,25.31518,12.6312
2019-12-31 15:45:00,28.02264,13.5062
2019-12-31 15:50:00,25.57707,12.7187
2019-12-31 15:55:00,23.87495,12.15
2019-12-31 16:00:00,23.48197,12.0187
2019-12-31 16:05:00,23.74386,12.1062
2019-12-31 16:10:00,26.91384,13.1562
2019-12-31 16:15:00,26.10085,12.8937
2019-12-31 16:20:00,27.0526,13.2
2019-12-31 16:25:00,29.5474,13.9875
2019-12-31 16:30:00,27.8842,13.4625
2019-12-31 16:35:00,28.57704,13.6812
2019-12-31 16:40:00,30.73112,14.3375
2019-12-31 16:45:00,27.8842,13.4625
2019-12-31 16:50:00,26.36273,12.9812
2019-12-31 16:55:00,30.4345,14.25
2019-12-31 17:00:00,31.91763,14.6875
2019-12-31 17:05:00,31.621,14.6
2019-12-31 17:10:00,32.06577,14.7312
2019-12-31 17:15:00,29.13144,13.8562
2019-12-31 17:20:00,27.74544,13.4187
2019-12-31 17:25:00,30.28601,14.2062
2019-12-31 17:30:00,28.29985,13.5937
2019-12-31 17:35:00,27.19105,13.2437
2019-12-31 17:40:00,26.36273,12.9812
2019-12-31 17:45:00,27.74544,13.4187
2019-12-31 17:50:00,26.23194,12.9375
2019-12-31 17:55:00,29.5474,13.9875
2019-12-31 18:00:00,26.36273,12.9812
2019-12-31 18:05:00,26.10085,12.8937
2019-12-31 18:10:00,28.02264,13.5062
